22,377,1
244,51,2
166,346,1
115,265,2
62,257,2
194,274,2
234,1184,2
291,118,2
95,546,2
102,768,2
181,1081,1
276,796,1
201,979,2
81,432,2
72,679,2
20,288,1
167,232,1
92,1049,1
241,690,2
145,275,2
194,385,2
174,368,1
194,1211,2
82,1134,2
13,836,2
244,756,2
95,787,2
43,14,2
49,559,2
155,323,2
305,117,2
279,1336,1
279,1240,1
268,1035,2
26,930,2
15,405,2
207,476,2
251,748,2
125,235,2
110,688,1
16,944,1
305,214,2
194,1028,2
91,323,2
229,328,1
303,842,2
268,930,2
268,2,2
192,476,2
268,145,1
181,264,2
181,872,1
201,146,1
193,96,1
219,82,1
302,322,2
181,3,2
201,695,1
302,303,2
145,15,2
181,1295,1
23,323,2
112,903,1
215,212,2
104,984,1
286,237,2
272,1393,2
207,1115,2
49,959,2
13,344,2
104,117,2
38,758,1
269,845,1
275,405,2
83,78,2
254,436,2
92,501,2
160,460,2
23,196,2
181,279,1
181,325,2
117,1047,2
99,111,1
65,47,2
269,217,2
85,259,2
201,960,2
181,938,1
222,278,2
63,289,2
246,94,2
256,849,2
164,406,2
94,184,2
281,338,2
128,371,1
94,720,1
129,873,1
151,176,2
181,306,1
21,370,1
268,824,2
181,741,1
126,905,2
21,222,2
279,1497,2
90,259,2
82,508,2
181,1015,1
75,284,2
269,22,1
271,1028,2
222,812,2
82,717,1
269,234,1
282,325,1
78,323,1
246,561,1
13,901,1
244,17,2
15,749,1
109,127,2
269,705,2
246,409,2
181,762,2
213,235,1
92,739,2
5,439,1
5,225,2
288,593,2
268,217,2
280,1049,2
262,931,2
181,870,2
158,665,2
181,1060,1
13,780,1
253,259,2
49,1003,2
62,68,1
85,51,2
58,1099,2
197,688,1
181,1288,1
66,877,1
195,1052,1
181,927,1
181,696,2
311,179,2
21,440,1
244,550,1
37,540,2
299,387,2
62,665,2
161,48,1
255,1034,1
104,301,2
279,122,1
109,475,1
230,1444,2
6,301,2
102,515,1
6,258,2
184,412,2
190,977,2
20,208,2
181,930,1
222,379,1
68,742,1
5,110,1
92,831,2
87,401,2
1,155,2
234,632,2
7,472,2
186,250,1
104,756,2
224,583,1
303,397,1
99,873,1
13,418,2
13,858,1
217,182,2
59,485,2
100,354,2
269,252,1
297,73,2
94,860,2
125,382,1
275,1091,2
198,118,2
124,496,1
234,241,2
75,240,1
207,68,2
145,974,1
149,319,2
